x	y	Gx	Gy	class	filename
8931	2350	708962	1881826	2	train/P_NCALM_5_00001.tif
3893	3722	706443	1881140	3	train/P_NCALM_5_00002.tif
3261	7346	706127	1879328	3	train/P_NCALM_5_00003.tif
10157	3970	709575	1881016	3	train/P_NCALM_5_00004.tif
8585	3144	708789	1881429	3	train/P_NCALM_5_00005.tif
3765	4268	706379	1880867	3	train/P_NCALM_5_00006.tif
12701	5526	710847	1880238	3	train/P_NCALM_5_00007.tif
10055	4394	709524	1880804	3	train/P_NCALM_5_00008.tif
4233	5234	706613	1880384	2	train/P_NCALM_5_00009.tif
10673	4598	709833	1880702	2	train/P_NCALM_5_00010.tif
8285	2130	708639	1881936	3	train/P_NCALM_5_00011.tif
4265	5472	706629	1880265	3	train/P_NCALM_5_00012.tif
5887	7064	707440	1879469	3	train/P_NCALM_5_00013.tif
9621	3510	709307	1881246	3	train/P_NCALM_5_00014.tif
10123	4512	709558	1880745	3	train/P_NCALM_5_00015.tif
7021	5572	708007	1880215	3	train/P_NCALM_5_00016.tif
2153	5862	705573	1880070	3	train/P_NCALM_5_00017.tif
4253	5532	706623	1880235	3	train/P_NCALM_5_00018.tif
1807	5974	705400	1880014	2	train/P_NCALM_5_00019.tif
4303	6326	706648	1879838	3	train/P_NCALM_5_00020.tif
8107	2972	708550	1881515	3	train/P_NCALM_5_00021.tif
8491	3264	708742	1881369	3	train/P_NCALM_5_00022.tif
10059	4378	709526	1880812	2	train/P_NCALM_5_00023.tif
7285	1970	708139	1882016	3	train/P_NCALM_5_00024.tif
3571	4490	706282	1880756	3	train/P_NCALM_5_00025.tif
4089	7226	706541	1879388	3	train/P_NCALM_5_00026.tif
2991	5944	705992	1880029	3	train/P_NCALM_5_00027.tif
3881	3870	706437	1881066	3	train/P_NCALM_5_00028.tif
13603	5466	711298	1880268	3	train/P_NCALM_5_00029.tif
2589	4438	705791	1880782	3	train/P_NCALM_5_00030.tif
5983	6278	707488	1879862	3	train/P_NCALM_5_00031.tif
11805	5460	710399	1880271	3	train/P_NCALM_5_00032.tif
2547	4448	705770	1880777	3	train/P_NCALM_5_00033.tif
9519	3352	709256	1881325	3	train/P_NCALM_5_00034.tif
15005	4890	711999	1880556	3	train/P_NCALM_5_00035.tif
3643	4788	706318	1880607	3	train/P_NCALM_5_00036.tif
6491	5916	707742	1880043	3	train/P_NCALM_5_00037.tif
8143	3068	708568	1881467	3	train/P_NCALM_5_00038.tif
8609	3156	708801	1881423	3	train/P_NCALM_5_00039.tif
8621	3104	708807	1881449	3	train/P_NCALM_5_00040.tif
7053	5590	708023	1880206	2	train/P_NCALM_5_00041.tif
2507	6076	705750	1879963	2	train/P_NCALM_5_00042.tif
1803	5930	705398	1880036	2	train/P_NCALM_5_00043.tif
8247	1336	708620	1882333	2	train/P_NCALM_5_00044.tif
10225	4014	709609	1880994	3	train/P_NCALM_5_00045.tif
9493	3264	709243	1881369	3	train/P_NCALM_5_00046.tif
10309	3686	709651	1881158	3	train/P_NCALM_5_00047.tif
3015	4228	706004	1880887	2	train/P_NCALM_5_00048.tif
8267	2118	708630	1881942	2	train/P_NCALM_5_00049.tif
3753	5952	706373	1880025	3	train/P_NCALM_5_00050.tif
11475	4612	710234	1880695	2	train/P_NCALM_5_00051.tif
9781	3730	709387	1881136	3	train/P_NCALM_5_00052.tif
7977	2990	708485	1881506	3	train/P_NCALM_5_00053.tif
10061	4364	709527	1880819	3	train/P_NCALM_5_00054.tif
6647	5162	707820	1880420	3	train/P_NCALM_5_00055.tif
4237	5308	706615	1880347	3	train/P_NCALM_5_00056.tif
8879	3288	708936	1881357	3	train/P_NCALM_5_00057.tif
2035	5568	705514	1880217	2	train/P_NCALM_5_00058.tif
4167	5236	706580	1880383	3	train/P_NCALM_5_00059.tif
5955	6100	707474	1879951	3	train/P_NCALM_5_00060.tif
3307	7342	706150	1879330	2	train/P_NCALM_5_00061.tif
3089	4112	706041	1880945	2	train/P_NCALM_5_00062.tif
4185	4144	706589	1880929	3	train/P_NCALM_5_00063.tif
8169	2004	708581	1881999	3	train/P_NCALM_5_00064.tif
3739	6054	706366	1879974	3	train/P_NCALM_5_00065.tif
9663	3888	709328	1881057	2	train/P_NCALM_5_00066.tif
4235	5226	706614	1880388	3	train/P_NCALM_5_00067.tif
11251	5080	710122	1880461	3	train/P_NCALM_5_00068.tif
9371	4146	709182	1880928	3	train/P_NCALM_5_00069.tif
8471	3000	708732	1881501	3	train/P_NCALM_5_00070.tif
9039	2312	709016	1881845	2	train/P_NCALM_5_00071.tif
3551	4510	706272	1880746	3	train/P_NCALM_5_00072.tif
6503	5014	707748	1880494	2	train/P_NCALM_5_00073.tif
7205	1960	708099	1882021	2	train/P_NCALM_5_00074.tif
4557	6466	706775	1879768	2	train/P_NCALM_5_00075.tif
10381	4404	709687	1880799	2	train/P_NCALM_5_00076.tif
9435	3340	709214	1881331	3	train/P_NCALM_5_00077.tif
9369	3424	709181	1881289	3	train/P_NCALM_5_00078.tif
10249	4328	709621	1880837	3	train/P_NCALM_5_00079.tif
3185	3940	706089	1881031	3	train/P_NCALM_5_00080.tif
9073	2426	709033	1881788	3	train/P_NCALM_5_00081.tif
10181	3970	709587	1881016	3	train/P_NCALM_5_00082.tif
5947	6028	707470	1879987	3	train/P_NCALM_5_00083.tif
10141	3986	709567	1881008	3	train/P_NCALM_5_00084.tif
10819	4326	709906	1880838	2	train/P_NCALM_5_00085.tif
12719	5532	710856	1880235	2	train/P_NCALM_5_00086.tif
7967	2970	708480	1881516	2	train/P_NCALM_5_00087.tif
2131	5890	705562	1880056	3	train/P_NCALM_5_00088.tif
9523	4072	709258	1880965	2	train/P_NCALM_5_00089.tif
10107	3942	709550	1881030	2	train/P_NCALM_5_00090.tif
9457	3058	709225	1881472	2	train/P_NCALM_5_00091.tif
11197	5012	710095	1880495	2	train/P_NCALM_5_00092.tif
7173	5680	708083	1880161	3	train/P_NCALM_5_00093.tif
8057	3118	708525	1881442	2	train/P_NCALM_5_00094.tif
